,,,제품,가격,제조사,종류,E-ATX,ATX,m-ATX,m-ITX,측면,폭,높이,깊이,VGA 장착길이,쿨러 최대높이,외부 색깔,내부 색깔
169,미들타워,,[쿨러마스터] MasterCase5 Pro 대양케이스,\199500,쿨러마스터,미들타워,,O,O,O,아크릴,235mm,512mm,548mm,412mm,190mm,,
170,미들타워,,[쿨러마스터] MasterCase5 대양케이스,\155500,쿨러마스터,미들타워,,O,O,O,,235mm,512mm,548mm,412mm,190mm,,
171,미들타워,,[쿨러마스터] Silenio 652S,\197000,쿨러마스터,미들타워,,O,O,,,220mm,507mm,508.6mm,423mm,168mm,,
172,데스크탑,,[쿨러마스터] HAF XB EVO WINDOW,\173000,쿨러마스터,데스크탑,,O,O,O,아크릴,442mm,330mm,423mm,334mm,180mm,,
173,데스크탑,,[쿨러마스터] HAF XB EVO,\157000,쿨러마스터,데스크탑,,O,O,O,,442mm,330mm,423mm,334mm,180mm,,
174,미들타워,,[쿨러마스터] Silencio 452,\96000,쿨러마스터,미들타워,,O,O,,,190mm,449mm,497mm,386mm,158mm,,
175,리틀밸리,,[쿨러마스터] ELITE 110,\70000,쿨러마스터,리틀밸리,,,,O,,260mm,208mm,280mm,210mm,76mm,,
176,빅타워,,[쿨러마스터] HAF STACKER 945R,\352000,쿨러마스터,빅타워,O,O,O,O,아크릴,221mm,719mm,578mm,354mm,180mm,,
177,빅타워,,[쿨러마스터] HAF STACKER 945F,\352000,쿨러마스터,빅타워,O,O,O,O,아크릴,221mm,719mm,578mm,354mm,180mm,,
178,리틀밸리,,[쿨러마스터] HAF STACKER 915R,\109000,쿨러마스터,리틀밸리,,,,O,,228mm,243mm,578mm,360mm,80mm,,
179,리틀밸리,,[쿨러마스터] HAF STACKER 915F,\109000,쿨러마스터,리틀밸리,,,,O,,228mm,248mm,578mm,360mm,170mm,,
180,빅타워,,[쿨러마스터] HAF STACKER 935,\247000,쿨러마스터,빅타워,O,O,O,,아크릴,235mm,719mm,578mm,354mm,180mm,,
181,미들타워,,[쿨러마스터] Silencio 652,\184000,쿨러마스터,미들타워,,O,O,,,220mm,479mm,525.6mm,423mm,168mm,,
182,빅타워,,[쿨러마스터] COSMOS SE WINDOW,\245000,쿨러마스터,빅타워,,O,O,O,아크릴,263.8mm,569.4mm,524.4mm,395mm,175mm,,
183,미들타워,,[쿨러마스터] N600,\121000,쿨러마스터,미들타워,,O,O,,아크릴,220mm,455mm,520mm,430mm,167mm,,
184,리틀밸리,,[쿨러마스터] Mini 110,\78000,쿨러마스터,리틀밸리,,,,O,,268mm,70mm,290mm,,55mm,,
185,미들타워,,[쿨러마스터] K282,\60000,쿨러마스터,미들타워,,O,O,,,220mm,429mm,480mm,315mm,162mm,,
186,리틀밸리,,[쿨러마스터] ELITE 130,\74000,쿨러마스터,리틀밸리,,,,O,,240mm,205mm,377.5mm,343mm,65mm,,
187,미니타워,,[쿨러마스터] Silencio 352,\79000,쿨러마스터,미니타워,,,O,O,,200mm,378mm,453mm,365mm,155mm,,
188,미들타워,,[쿨러마스터] CM690 III,\142000,쿨러마스터,미들타워,,O,O,,,230mm,507mm,502mm,423mm,171mm,,
189,미들타워,,[쿨러마스터] CM690 III WINDOW,\153000,쿨러마스터,미들타워,,O,O,,아크릴,230mm,507mm,502mm,423mm,171mm,,
190,미들타워,,[쿨러마스터] N400,\70000,쿨러마스터,미들타워,,O,O,,,190mm,426mm,501.4mm,320mm,,,
191,,, ,,,,,,,,,,,,,,,
192,,,-- SAMA --,,,,,,,,,,,,,,,
193,,, ,,,,,,,,,,,,,,,
194,빅타워,,[SAMA] STALLION KB17 3면 강화유리 with HALO,\58000,SAMA,빅타워,O,O,O,O,강화유리,216mm,492mm,448mm,390mm,165mm,,
195,미들타워,,[SAMA] STALLION BA1 토파즈 USB3.0 강화유리,\54000,SAMA,미들타워,,O,O,O,강화유리,217mm,460mm,432mm,365mm,165mm,,
196,미들타워,,[SAMA] STALLION KB10 USB3.0 강화유리,\44000,SAMA,미들타워,,O,O,O,강화유리,216mm,473mm,455mm,390mm,163mm,,
197,미니타워,,[SAMA] STALLION F01 USB3.0 RGB 컨트롤 강화유리 화이트,\62000,SAMA,미니타워,,,O,O,강화유리,237mm,455mm,465mm,410mm,182mm,흰색,흰색
198,미니타워,,[SAMA] STALLION F01 USB3.0 RGB 컨트롤 강화유리 블랙,\57000,SAMA,미니타워,,,O,O,강화유리,237mm,455mm,465mm,410mm,182mm,,
199,빅타워,,[SAMA] STALLION K901B Zero NOISE 강화유리 화이트,\74000,SAMA,빅타워,O,O,O,O,강화유리,230mm,470mm,520mm,470mm,180mm,흰색,흰색
200,빅타워,,[SAMA] STALLION K901B Zero NOISE 강화유리 BLACK,\71000,SAMA,빅타워,O,O,O,O,강화유리,230mm,470mm,520mm,470mm,180mm,,
201,빅타워,,[SAMA] STALLION K902B RGB 컨트롤 강화유리 화이트,\85000,SAMA,빅타워,O,O,O,O,강화유리,238mm,507mm,512mm,455mm,180mm,흰색,흰색
202,빅타워,,[SAMA] STALLION K902B RGB 컨트롤 강화유리 블랙,\81000,SAMA,빅타워,O,O,O,O,강화유리,238mm,507mm,512mm,455mm,180mm,,
203,빅타워,,[SAMA] STALLION K902B RGB Ctrl BLACK,\94000,SAMA,빅타워,O,O,O,O,아크릴,220mm,507mm,511mm,455mm,180mm,,
204,빅타워,,[SAMA] STALLION K901B Zero NOISE 화이트,\92000,SAMA,빅타워,O,O,O,O,,230mm,470mm,520mm,470mm,180mm,흰색,흰색
205,빅타워,,[SAMA] STALLION K901B Zero NOISE BLACK,\65000,SAMA,빅타워,O,O,O,O,,230mm,470mm,520mm,470mm,180mm,,
206,,, ,,,,,,,,,,,,,,,
207,,,-- 잘만 --,,,,,,,,,,,,,,,
208,,, ,,,,,,,,,,,,,,,
209,미들타워,,[잘만] Z9 NEO PLUS 풀 아크릴 윈도우 화이트,\81000,잘만,미들타워,,O,O,O,아크릴,205mm,490mm,482mm,400mm,160mm,,
210,미들타워,,[잘만] Z9 NEO PLUS 풀 아크릴 윈도우 블랙,\78000,잘만,미들타워,,O,O,O,아크릴,205mm,490mm,482mm,400mm,160mm,,
211,미들타워,,[잘만] Z9 NEO 화이트,\62400,잘만,미들타워,,O,O,O,아크릴,205mm,490mm,482mm,420mm,160mm,흰색,
212,미들타워,,[잘만] Z9 NEO,\62400,잘만,미들타워,,O,O,O,아크릴,205mm,490mm,482mm,420mm,160mm,,
213,미들타워,,[잘만] Z1 NEO,\37380,잘만,미들타워,,O,O,O,아크릴,203mm,445mm,464mm,375mm,160mm,,
214,미들타워,,[잘만] ZM-R1 화이트,\43000,잘만,미들타워,,O,O,O,아크릴,190mm,454mm,468mm,360mm,,흰금,
215,미들타워,,[잘만] Z3 화이트,\47280,잘만,미들타워,,O,O,,,192mm,465mm,430mm,360mm,,흰색,흰색
216,미니타워,,[잘만] A1,\28680,잘만,미니타워,,,O,O,,175mm,380mm,404mm,380mm,150mm,,
217,미들타워,,[잘만] Z11 NEO,\67200,잘만,미들타워,,O,O,,아크릴,205mm,520mm,515mm,400mm,175mm,,
218,미들타워,,[잘만] ZM-R1,\38500,잘만,미들타워,,O,O,O,아크릴,190mm,454mm,468mm,360mm,,,
219,리틀밸리,,[잘만] M1,\76950,잘만,리틀밸리,,,,O,,261mm,394mm,426mm,350mm,160mm,,
220,미니타워,,[잘만] ZM-T2 PLUS USB 3.0,\30150,잘만,미니타워,,,O,O,,189mm,427.5mm,364mm,300mm,140mm,,
221,미니타워,,[잘만] ZM-T4,\29860,잘만,미니타워,,,O,O,,189mm,427.5mm,364mm,300mm,140mm,,
222,미들타워,,[잘만] Z3 PLUS 화이트,\39500,잘만,미들타워,,O,O,,,185mm,412mm,45mm,360mm,,흰색,흰색
223,미니타워,,[잘만] ZM-T3,\27900,잘만,미니타워,,,O,O,,189mm,427.5mm,364mm,300mm,,,
224,미들타워,,[잘만] Z3 PLUS,\41200,잘만,미들타워,,O,O,,,185mm,412mm,45mm,360mm,,,
225,미들타워,,[잘만] Z5,\53840,잘만,미들타워,,O,O,,,205mm,460mm,490mm,,,,
226,미들타워,,[잘만] Z11 PLUS,\85321,잘만,미들타워,,O,O,,아크릴,260mm,498mm,525mm,290mm,,,
227,미들타워,,[잘만] Z11,\43330,잘만,미들타워,,O,O,,아크릴,260mm,498mm,525mm,290mm,,,
228,,, ,,,,,,,,,,,,,,,
229,,,-- 대양케이스 --,,,,,,,,,,,,,,,
230,,, ,,,,,,,,,,,,,,,
231,미들타워,,[대양케이스] NEXT Rev.2 화이트 RING LED 강화유리,\68500,대양케이스,미들타워,,O,O,,강화유리,220mm,505mm,480mm,420mm,170mm,,
232,미니타워,,[대양케이스] TWINS 140 USB 3.0,\17680,대양케이스,미니타워,,,O,,,175mm,350mm,357mm,300mm,150mm,,
233,미니타워,,[대양케이스] TWINS 240 USB 3.0,\17680,대양케이스,미니타워,,,O,,,175mm,350mm,357mm,300mm,150mm,,
234,미들타워,,[대양케이스] LUCIO 화이트 RING 블루 LED 강화유리,\31000,대양케이스,미들타워,,O,O,O,아크릴,205mm,420mm,430mm,370mm,165mm,,
235,미들타워,,[대양케이스] LUCIO 블랙 RING 화이트 LED 강화유리,\29500,대양케이스,미들타워,,O,O,O,아크릴,205mm,420mm,430mm,370mm,165mm,,
236,미들타워,,[대양케이스] ENIX 풀 아크릴 윈도우 블랙 화이트 LED,\31000,대양케이스,미들타워,,O,O,,아크릴,205mm,502mm,435mm,360mm,170mm,,
237,미들타워,,[대양케이스] REFRACT S1 화이트 LED RING팬 강화유리,\47660,대양케이스,미들타워,,O,O,O,강화유리,187mm,457mm,470mm,400mm,159mm,,
238,미들타워,,[대양케이스] NEXT USB 3.0 풀 아크릴 Blue LED,\29000,대양케이스,미들타워,,O,O,,아크릴,195mm,460mm,430mm,390mm,155mm,,
239,미들타워,,[대양케이스] S31 USB 3.0,\15600,대양케이스,미들타워,,O,O,O,,195mm,410mm,410mm,360mm,150mm,,
240,미들타워,,[대양케이스] S3.0 USB 3.0,\15600,대양케이스,미들타워,,O,O,O,,195mm,410mm,410mm,360mm,150mm,,
241,미들타워,,[대양케이스] Moonlight II 블랙 RINGS White LED 풀아크릴,\49000,대양케이스,미들타워,,O,O,,아크릴,205mm,470mm,440mm,360mm,160mm,흰색,
242,미들타워,,[대양케이스] Moonlight II 블랙 RINGS Blue LED 풀아크릴,\45050,대양케이스,미들타워,,O,O,,아크릴,205mm,470mm,440mm,360mm,160mm,,
243,미들타워,,[대양케이스] BARON USB 3.0 풀 아크릴 윈도우,\36980,대양케이스,미들타워,,O,O,,아크릴,185mm,460mm,420mm,360mm,160mm,흰색,
244,미들타워,,[대양케이스] CARMEN USB 3.0 풀 아크릴 윈도우,\35920,대양케이스,미들타워,,O,O,,아크릴,185mm,460mm,405mm,360mm,160mm,,
245,미들타워,,[대양케이스] NEON USB 3.0 RGB LED Strips 풀 아크릴 윈도우,\31200,대양케이스,미들타워,,O,O,,아크릴,185mm,440mm,410mm,360mm,160mm,,
246,미들타워,,[대양케이스] K1 Game Box,\11440,대양케이스,미들타워,,O,O,,,160mm,405mm,270mm,240mm,140mm,흰색,회색
247,미들타워,,[대양케이스] G8 PC방,\14930,대양케이스,미들타워,,O,O,,,175mm,370mm,410mm,300mm,160mm,,
248,미니타워,,[대양케이스] RAY,\9820,대양케이스,미니타워,,,O,O,,170mm,350mm,355mm,300mm,140mm,,
249,미들타워,,[대양케이스] BLAZER USB 3.0 윈도우,\18480,대양케이스,미들타워,,O,O,,아크릴,185mm,420mm,415mm,360mm,160mm,,
250,미들타워,,[대양케이스] LOCKON USB3.0 윈도우,\18480,대양케이스,미들타워,,O,O,,아크릴,185mm,420mm,410mm,360mm,160mm,,
251,미들타워,,[대양케이스] G1 PLUS 피씨방,\22370,대양케이스,미들타워,,O,O,,,178mm,409mm,363mm,325mm,150mm,,
252,미들타워,,[대양케이스] CRUZER USB 3.0 윈도우,\30000,대양케이스,미들타워,,O,O,,아크릴,185mm,460mm,410mm,360mm,160mm,흰색,
253,미들타워,,[대양케이스] REEVEN RHEIA,\52530,대양케이스,미들타워,,O,O,O,아크릴,210mm,465mm,446mm,400mm,180mm,,
254,미들타워,,[대양케이스] Moonlight 블랙 화이트 LED 풀 아크릴 윈도우,\38560,대양케이스,미들타워,,O,O,,아크릴,205mm,470mm,440mm,360mm,170mm,,
255,리틀밸리,,[대양케이스] ATOM Silver USB 3.0 윈도우,\-,대양케이스,리틀밸리,,,O,O,아크릴,195mm,245mm,278mm,265mm,170mm,은색,
256,리틀밸리,,[대양케이스] ATOM Black USB 3.0 윈도우,\-,대양케이스,리틀밸리,,,O,O,아크릴,195mm,245mm,278mm,265mm,170mm,,
257,미들타워,,[대양케이스] Cyonic RAINBOW 풀 아크릴 윈도우 USB 3.0,\51650,대양케이스,미들타워,,O,O,O,아크릴,188mm,530mm,483mm,380mm,140mm,,
258,미니타워,,[대양케이스] MoonLight 미니 화이트 LED 화이트 윈도우 USB 3.0,\34000,대양케이스,미니타워,,,O,O,아크릴,200mm,450mm,410mm,320mm,158mm,흰색,
259,미니타워,,[대양케이스] MoonLight 미니 화이트 LED 블랙 윈도우 USB 3.0,\33000,대양케이스,미니타워,,,O,O,아크릴,200mm,450mm,410mm,320mm,158mm,,
260,미들타워,,[대양케이스] Romance USB 3.0 윈도우 화이트,\22000,대양케이스,미들타워,,O,O,,아크릴,175mm,410mm,455mm,365mm,165mm,흰색,
261,미들타워,,[대양케이스] Romance USB 3.0 윈도우 블랙,\19530,대양케이스,미들타워,,O,O,,아크릴,175mm,410mm,455mm,365mm,165mm,,
262,미들타워,,[대양케이스] Calio USB 3.0 화이트 윈도우,\43260,대양케이스,미들타워,,O,O,,아크릴,210mm,510mm,430mm,360mm,170mm,흰색,흰색
263,미들타워,,[대양케이스] Calio USB 3.0 블랙 윈도우,\44000,대양케이스,미들타워,,O,O,,아크릴,210mm,510mm,430mm,360mm,170mm,,
264,미들타워,,[대양케이스] ENIX USB 3.0 풀 아크릴 윈도우 블랙,\31160,대양케이스,미들타워,,O,O,,아크릴,205mm,502mm,435mm,360mm,170mm,,
265,미들타워,,[대양케이스] GALAXY USB 30 풀 아크릴 윈도우,\45320,대양케이스,미들타워,,O,O,,아크릴,195mm,480mm,435mm,360mm,160mm,,
266,미니타워,,[대양케이스] TIDY USB 3.0,\19000,대양케이스,미니타워,,,O,,,180mm,350mm,380mm,235mm,170mm,,
267,미들타워,,[대양케이스] A004 USB 3.0,\18000,대양케이스,미들타워,,O,O,,,180mm,420mm,410mm,360mm,150mm,,
268,,, ,,,,,,,,,,,,,,,
269,,,-- 마이크로닉스 --,,,,,,,,,,,,,,,
270,,, ,,,,,,,,,,,,,,,
271,미들타워,,[마이크로닉스] Master T800 하드베이 모듈,\86840,마이크로닉스,미들타워,,O,O,O,아크릴,211mm,490mm,513mm,430mm,163mm,,
272,미들타워,,[마이크로닉스] Master AREZ Z300 Snow Edition,\74600,마이크로닉스,미들타워,,O,O,,강화유리,205mm,480mm,475mm,380mm,155mm,,
273,미들타워,,[마이크로닉스] Master M400 메쉬X강화유리,\64700,마이크로닉스,미들타워,,O,O,O,강화유리,203mm,520mm,470mm,390mm,160mm,,
274,미들타워,,[마이크로닉스] Master M400 아크릴X강화유리,\67800,마이크로닉스,미들타워,,O,O,O,강화유리,203mm,520mm,470mm,390mm,160mm,,
275,미들타워,,[마이크로닉스] Bohemian Delfino,\29500,마이크로닉스,미들타워,,O,O,,아크릴,200mm,467mm,455mm,410mm,165mm,,
276,미들타워,,[마이크로닉스] Master T400,\40300,마이크로닉스,미들타워,,O,O,O,아크릴,206mm,461mm,457mm,400mm,165mm,,
277,미들타워,,[마이크로닉스] Frontier H350 블랙 With Riser Cable,\58000,마이크로닉스,미들타워,,O,O,O,아크릴,195mm,455mm,470mm,405mm,158mm,,
278,미들타워,,[마이크로닉스] Frontier H350 화이트 With Riser Cable,\57850,마이크로닉스,미들타워,,O,O,O,아크릴,195mm,455mm,470mm,405mm,158mm,,
279,미들타워,,[마이크로닉스] Master M200 풀 아크릴 윈도우,\45500,마이크로닉스,미들타워,,O,,,아크릴,200mm,510mm,460mm,380mm,165mm,,
280,미들타워,,[마이크로닉스] Master ARES Z300 강화유리,\65330,마이크로닉스,미들타워,,O,O,,강화유리,205mm,480mm,475mm,380mm,155mm,,
281,미들타워,,[마이크로닉스] Frontier H350 블랙,\28900,마이크로닉스,미들타워,,O,O,O,아크릴,195mm,455mm,470mm,405mm,158mm,,
282,미들타워,,[마이크로닉스] Frontier H100 PC방,\15500,마이크로닉스,미들타워,,O,O,O,,175mm,405mm,360mm,305mm,145mm,,은색
283,미들타워,,[마이크로닉스] Frontier H350 화이트,\29500,마이크로닉스,미들타워,,O,O,O,아크릴,195mm,455mm,470mm,405mm,158mm,흰색,
284,미들타워,,[마이크로닉스] 루팡,\22000,마이크로닉스,미들타워,,O,O,O,,195mm,410mm,355mm,330mm,145mm,,
285,미들타워,,[마이크로닉스] 32형 QHD 게이밍 일체형케이스,\523900,마이크로닉스,미들타워,,O,O,O,,741mm,507mm,242mm,305mm,,,
286,미들타워,,[마이크로닉스] 32형 FullHD 144Hz 게이밍 일체형케이스,\524000,마이크로닉스,미들타워,,O,O,O,,741mm,507mm,242mm,305mm,,,
287,미들타워,,[마이크로닉스] 듀크 풀 아크릴 윈도우,\28500,마이크로닉스,미들타워,,O,O,O,아크릴,190mm,483mm,436mm,370mm,156mm,,
288,미들타워,,[마이크로닉스] Frontier ARC-1000 화이트,\34500,마이크로닉스,미들타워,,O,O,O,아크릴,177mm,438mm,417mm,310mm,140mm,흰색,
289,미들타워,,[마이크로닉스] Frontier ARC-1000 블랙,\34500,마이크로닉스,미들타워,,O,O,O,아크릴,177mm,438mm,417mm,310mm,140mm,회색,
290,미들타워,,[마이크로닉스] 루키 Middle USB 3.0 ,\19500,마이크로닉스,미들타워,,O,O,O,,190mm,425mm,414mm,350mm,150mm,,
291,미들타워,,[마이크로닉스] 어벤져,\87900,마이크로닉스,미들타워,,O,O,O,아크릴,210mm,536mm,525mm,420mm,165mm,,
292,미들타워,,[마이크로닉스] 34형 커브드 UWQHD 수냉 일체형케이스,\1645700,마이크로닉스,미들타워,,,,O,,870mm,450mm,475mm,300mm,,,
293,미들타워,,[마이크로닉스] 34형 커브드 UWQHD 일체형케이스,\1583240,마이크로닉스,미들타워,,,,O,,870mm,450mm,475mm,300mm,,,
294,빅타워,,[마이크로닉스] Aluma XL-20 E-ATX 실버,\144000,마이크로닉스,빅타워,O,O,O,O,강화유리,230mm,495mm,450mm,400mm,170mm,은색,
295,빅타워,,[마이크로닉스] Aluma XL-20 E-ATX 블랙,\142900,마이크로닉스,빅타워,O,O,O,O,강화유리,230mm,495mm,450mm,400mm,170mm,,
296,미니타워,,[마이크로닉스] Frontier U200 Mini 화이트,\24900,마이크로닉스,미니타워,,,O,O,아크릴,193mm,397mm,398mm,300mm,150mm,흰색,
297,미니타워,,[마이크로닉스] Frontier U200 Mini 블랙,\25000,마이크로닉스,미니타워,,,O,O,아크릴,193mm,397mm,398mm,300mm,150mm,,
298,미들타워,,[마이크로닉스] 레이저 RGB LED,\50500,마이크로닉스,미들타워,,O,O,O,아크릴,195mm,455mm,470mm,405mm,158mm,흰색,
299,미들타워,,[마이크로닉스] 팰콘 실버,\31900,마이크로닉스,미들타워,,O,O,O,아크릴,175mm,454mm,413mm,310mm,134mm,은색,
300,미들타워,,[마이크로닉스] 팰콘 블랙,\27500,마이크로닉스,미들타워,,O,O,O,아크릴,175mm,454mm,413mm,310mm,134mm,,
301,미들타워,,[마이크로닉스] 24형 풀HD 일체형케이스 (파워 미포함),\352990,마이크로닉스,미들타워,,,O,O,,570mm,453mm,215mm,255mm,,,
302,미니타워,,[마이크로닉스] EDGE Mini,\33800,마이크로닉스,미니타워,,,O,O,,176mm,361mm,385mm,350mm,155mm,,
303,미들타워,,[마이크로닉스] Frontier H300 화이트,\24400,마이크로닉스,미들타워,,O,O,O,아크릴,200mm,410mm,416mm,360mm,156mm,흰색,
304,미들타워,,[마이크로닉스] Frontier H300 블랙,\24400,마이크로닉스,미들타워,,O,O,O,아크릴,200mm,410mm,416mm,360mm,156mm,,
305,미들타워,,[마이크로닉스] 32인치 풀HD 일체형 케이스,\457310,마이크로닉스,미들타워,,O,O,O,,741mm,507mm,242mm,268mm,,,
306,미니타워,,[마이크로닉스] Frontier S300 Mini 화이트,\34600,마이크로닉스,미니타워,,,O,O,아크릴,190mm,438mm,411mm,340mm,156mm,흰색,
307,미니타워,,[마이크로닉스] Frontier S300 Mini 블랙,\34600,마이크로닉스,미니타워,,,O,O,아크릴,190mm,438mm,411mm,340mm,156mm,,
308,리틀밸리,,[마이크로닉스] 1리터 블랙,\44000,마이크로닉스,리틀밸리,,,,O,,207mm,43mm,187mm,,,흰검,
309,리틀밸리,,[마이크로닉스] 1리터 그레이,\46600,마이크로닉스,리틀밸리,,,,O,,207mm,43mm,187mm,,,흰회,
310,미니타워,,[마이크로닉스] Frontier ML-360,\44900,마이크로닉스,미니타워,,,O,O,,170mm,360mm,400mm,330mm,150mm,,
311,,, ,,,,,,,,,,,,,,,
312,,,-- Antec --,,,,,,,,,,,,,,,
313,,, ,,,,,,,,,,,,,,,
314,미니타워,,[Antec] P6,\64390,Antec,미니타워,,,O,O,강화유리,195mm,380mm,410mm,390mm,160mm,,
315,미들타워,,[Antec] DF500 RGB 강화유리,\71000,Antec,미들타워,,O,O,O,강화유리,200mm,480mm,470mm,380mm,165mm,,
316,미들타워,,[Antec] DF500 아크릴,\63000,Antec,미들타워,,O,O,O,아크릴,200mm,480mm,470mm,380mm,165mm,,
317,미들타워,,[Antec] P110 SILENT,\118500,Antec,미들타워,,O,O,O,,230mm,518mm,489mm,390mm,165mm,,
318,미들타워,,[Antec] P110 LUCE,\127900,Antec,미들타워,,O,O,O,강화유리,230mm,518mm,489mm,390mm,165mm,,
319,미들타워,,[Antec] P8,\68500,Antec,미들타워,,O,O,O,강화유리,210mm,443mm,470mm,390mm,165mm,,
320,리틀밸리,,[Antec] CUBE RAZER,\261900,Antec,리틀밸리,,,,O,아크릴,250mm,365mm,460mm,350mm,190mm,,
321,리틀밸리,,[Antec] CUBE,\297500,Antec,리틀밸리,,,,O,아크릴,250mm,365mm,460mm,350mm,190mm,,
322,미들타워,,[Antec] GX1200,\98000,Antec,미들타워,,O,O,O,아크릴,200mm,520mm,500mm,410mm,160mm,,
323,빅타워,,[Antec] S10,\739000,Antec,빅타워,O,O,O,O,,230mm,602mm,590mm,317.5mm,165mm,,
324,미들타워,,[Antec] P100 화이트,\148890,Antec,미들타워,,O,O,O,,220mm,484mm,523mm,317.5mm,170mm,흰색,흰색
325,미들타워,,[Antec] GX300,\60500,Antec,미들타워,,O,O,O,아크릴,210mm,480mm,480mm,400mm,165mm,,
326,빅타워,,[Antec] P380,\329000,Antec,빅타워,O,O,O,O,아크릴,223.6mm,555mm,557mm,465mm,180mm,,
327,빅타워,,[Antec] Nineteen Hundred Green,\372900,Antec,빅타워,,O,O,O,아크릴,221mm,696mm,555mm,330mm,175mm,검초,
328,빅타워,,[Antec] Nineteen Hundred Red,\364900,Antec,빅타워,,O,O,O,아크릴,2211mm,696mm,555mm,330mm,175mm,검빨,
329,미들타워,,[Antec] P100,\118000,Antec,미들타워,,O,O,O,,220mm,484mm,523mm,317.5mm,170mm,,
330,미들타워,,[Antec] P280 WINDOW,\195210,Antec,미들타워,O,O,O,O,아크릴,231mm,526mm,562mm,330mm,170mm,,
331,미들타워,,[Antec] P280 화이트 WINDOW,\216000,Antec,미들타워,,O,O,O,아크릴,231mm,526mm,562mm,330mm,170mm,흰색,흰색
332,미들타워,,[Antec] P280,\161900,Antec,미들타워,,O,O,O,,231mm,526mm,562mm,330mm,170mm,,
333,,, ,,,,,,,,,,,,,,,
334,,,-- be quiet --,,,,,,,,,,,,,,,
335,,, ,,,,,,,,,,,,,,,
336,미들타워,,[be quiet] PURE BASE 600 SILVER,\116000,be quiet,미들타워,,O,O,O,,220mm,470mm,492mm,425mm,165mm,검은,
337,미들타워,,[be quiet] PURE BASE 600 BLACK,\116000,be quiet,미들타워,,O,O,O,,220mm,470mm,492mm,425mm,165mm,은색,
338,미들타워,,[be quiet] SILENT BASE 600 Window Red,\166800,be quiet,미들타워,,O,O,O,아크릴,230mm,493mm,495mm,400mm,167mm,검빨,
339,미들타워,,[be quiet] SILENT BASE 800 Window Red,\209000,be quiet,미들타워,,O,O,O,아크릴,266mm,542mm,495mm,400mm,170mm,검빨,
340,빅타워,,[be quiet] DARK BASE PRO 900 SILVER,\368000,be quiet,빅타워,O,O,O,O,강화유리,243mm,585mm,577mm,472mm,185mm,검은,
341,빅타워,,[be quiet] DARK BASE PRO 900 ORANGE,\368000,be quiet,빅타워,O,O,O,O,강화유리,243mm,585mm,577mm,472mm,185mm,검주,
342,빅타워,,[be quiet] DARK BASE PRO 900 BLACK,\368000,be quiet,빅타워,O,O,O,O,강화유리,243mm,585mm,577mm,472mm,185mm,,
343,미들타워,,[be quiet] SILENT BASE 600 Orange,\152000,be quiet,미들타워,,O,O,O,,230mm,493mm,495mm,400mm,167mm,검주,
344,미들타워,,[be quiet] SILENT BASE 600 Black,\148500,be quiet,미들타워,,O,O,O,,230mm,493mm,495mm,400mm,167mm,,
345,미들타워,,[be quiet] SILENT BASE 600 Silver,\148500,be quiet,미들타워,,O,O,O,,230mm,493mm,495mm,400mm,167mm,은색,
346,미들타워,,[be quiet] SILENT BASE 800 Window Silver,\209000,be quiet,미들타워,,O,O,O,아크릴,266mm,542mm,495mm,400mm,170mm,검은,
347,미들타워,,[be quiet] SILENT BASE 800 Window Orange,\209000,be quiet,미들타워,,O,O,O,아크릴,266mm,542mm,495mm,400mm,170mm,검주,
348,미들타워,,[be quiet] SILENT BASE 800 Window Black,\209000,be quiet,미들타워,,O,O,O,아크릴,266mm,542mm,495mm,400mm,170mm,,
349,미들타워,,[be quiet] SILENT BASE 800 Orange,\204000,be quiet,미들타워,,O,O,O,,266mm,542mm,495mm,400mm,170mm,검주,
350,미들타워,,[be quiet] SILENT BASE 800 Silver,\204000,be quiet,미들타워,,O,O,O,,266mm,542mm,495mm,400mm,170mm,은색,
351,미들타워,,[be quiet] SILENT BASE 800 Black,\489900,be quiet,미들타워,,O,O,O,,266mm,542mm,495mm,400mm,170mm,,
352,,, ,,,,,,,,,,,,,,,
353,,,-- CORSAIR --,,,,,,,,,,,,,,,
354,,, ,,,,,,,,,,,,,,,
355,빅타워,,[CORSAIR] OBSIDIAN 1000D,\-,CORSAIR,빅타워,O,O,O,O,강화유리,307mm,697mm,693mm,400mm,180mm,,
356,미들타워,,[CORSAIR] CARBIDE SERIES 275R Tempered Glass White,\117770,CORSAIR,미들타워,,O,O,O,강화유리,211mm,455mm,460mm,370mm,170mm,흰색,
357,미들타워,,[CORSAIR] CARBIDE SERIES 275R Tempered Glass Black,\117770,CORSAIR,미들타워,,O,O,O,강화유리,211mm,455mm,460mm,370mm,170mm,,
358,미들타워,,[CORSAIR] CRYSTAL SERIES 460X RGB White,\207960,CORSAIR,미들타워,,O,O,O,강화유리,220mm,464mm,440mm,370mm,170mm,,
359,미들타워,,[CORSAIR] CRYSTAL SERIES 570X RGB Mirror Black,\293600,CORSAIR,미들타워,,O,O,O,강화유리,234mm,512mm,480mm,370mm,170mm,,
360,미들타워,,[CORSAIR] OBSIDIAN 500D,\217000,CORSAIR,미들타워,,O,O,O,강화유리,233mm,506mm,502mm,370mm,170mm,,
361,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-OMEGA RED,\158000,CORSAIR,미들타워,,O,O,O,강화유리,232mm,495mm,516mm,370mm,170mm,,
